Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
133,DeJuan Blair,21,SAS,PF,81,65,21.4,3.6,7.2,0.501,0,0,0,3.6,7.2,0.503,0.501,1.1,1.7,0.657,2.7,4.3,7,1,1.2,0.5,1.4,2.6,8.3,,blairde01
134,Kyle Korver,29,CHI,SG,82,0,20.1,3,6.8,0.434,1.5,3.5,0.415,1.5,3.3,0.455,0.542,0.9,1.1,0.885,0.1,1.7,1.8,1.5,0.4,0.2,0.7,1.9,8.3,,korveky01
135,Courtney Lee,25,HOU,SG,81,1,21.3,3.1,7.1,0.439,0.9,2.1,0.408,2.2,5,0.453,0.501,1.2,1.5,0.792,0.6,2,2.6,1.2,0.7,0.2,0.8,1.3,8.3,,leeco01
136,Nenad Krstić,27,2TM,C,71,67,22.1,3.3,6.4,0.511,0,0,,3.3,6.4,0.511,0.511,1.6,2.1,0.774,1.7,3,4.7,0.4,0.4,0.4,0.8,2.6,8.1,,krstine01
137,Samuel Dalembert,29,SAC,C,80,46,24.2,3.4,7.1,0.473,0,0,0,3.4,7.1,0.474,0.473,1.4,1.9,0.73,2.7,5.6,8.2,0.8,0.5,1.5,1.7,2.8,8.1,,dalemsa01
138,Tracy McGrady,31,DET,SG,72,39,23.4,3.2,7.1,0.442,0.4,1.2,0.341,2.7,5.9,0.462,0.471,1.3,1.8,0.698,0.7,2.8,3.5,3.5,0.9,0.5,1.4,1.4,8,,mcgratr01
139,Jason Kidd,37,DAL,PG,80,80,33.2,2.7,7.5,0.361,1.7,4.9,0.34,1,2.6,0.4,0.472,0.8,1,0.87,0.4,4,4.4,8.2,1.7,0.4,2.2,1.5,7.9,,kiddja01
140,Chuck Hayes,27,HOU,C,74,63,28.1,3.3,6.3,0.527,0,0,0,3.3,6.2,0.529,0.527,1.3,1.9,0.662,3,5.1,8.1,2.7,1.1,0.7,1.2,2.7,7.9,DPOY-12,hayesch01
141,Shane Battier,32,2TM,SF,82,59,29,2.8,6.2,0.45,1.2,3.3,0.382,1.5,3,0.525,0.55,0.8,1.1,0.688,1.1,3.5,4.5,2.3,0.8,1,1,1.9,7.6,,battish01
142,Goran Dragić,24,2TM,PG,70,5,17.6,2.7,6.3,0.435,0.8,2.2,0.361,1.9,4.1,0.476,0.499,1.2,1.9,0.624,0.5,1.5,2,2.9,0.7,0.1,1.7,1.8,7.5,,dragigo01
143,Austin Daye,22,DET,SF,72,16,20.1,2.7,6.5,0.41,1,2.4,0.401,1.7,4.2,0.415,0.483,1.1,1.5,0.759,0.9,2.9,3.8,1.1,0.5,0.5,0.8,2.3,7.5,,dayeau01
144,Josh McRoberts,23,IND,PF,72,51,22.2,2.9,5.4,0.547,0.3,0.8,0.383,2.6,4.5,0.577,0.576,1.2,1.7,0.739,1.5,3.8,5.3,2.1,0.7,0.8,1.3,2.3,7.4,,mcrobjo01
145,Al Thornton,27,2TM,PF,71,23,19.5,2.9,6.1,0.476,0.1,0.4,0.154,2.8,5.7,0.496,0.48,1.5,2,0.775,0.8,2.2,3,0.9,0.5,0.2,0.9,2,7.4,,thornal01
146,Sam Young,25,MEM,SF,78,46,20.2,3,6.3,0.472,0.2,0.6,0.34,2.8,5.7,0.486,0.489,1.1,1.5,0.767,0.5,1.9,2.4,0.9,0.9,0.3,0.8,1.5,7.3,,youngsa01
147,Evan Turner,22,PHI,SG,78,14,23,2.9,6.8,0.425,0.2,0.6,0.318,2.7,6.2,0.435,0.439,1.3,1.6,0.808,0.5,3.4,3.9,2,0.6,0.2,1,1.8,7.2,,turneev01
148,Spencer Hawes,22,PHI,C,81,81,21.2,3.3,7,0.465,0.1,0.5,0.243,3.1,6.6,0.48,0.473,0.6,1.1,0.534,1.6,4.1,5.7,1.5,0.4,0.9,1.2,2.5,7.2,,hawessp01
149,Ryan Gomes,28,LAC,SF,76,62,27.6,2.7,6.6,0.41,0.9,2.8,0.341,1.8,3.9,0.459,0.481,0.8,1.1,0.718,0.8,2.5,3.3,1.6,0.8,0.2,0.7,2.1,7.2,,gomesry01
150,Keyon Dooling,30,MIL,PG,80,22,22,2.6,6.5,0.397,1,2.9,0.346,1.6,3.6,0.439,0.475,1,1.2,0.83,0.2,1.3,1.5,3,0.7,0.1,1.1,1.5,7.1,,doolike01
151,Nazr Mohammed,33,2TM,C,75,37,17.1,3.1,6,0.522,0,0,0,3.1,6,0.523,0.522,0.9,1.5,0.598,1.9,3,4.9,0.3,0.4,0.7,0.9,2.5,7.1,,mohamna01
152,Taj Gibson,25,CHI,PF,80,19,21.8,2.9,6.3,0.466,0,0.1,0.125,2.9,6.2,0.472,0.467,1.3,1.9,0.676,2,3.7,5.7,0.7,0.5,1.3,0.9,2.5,7.1,,gibsota01
153,DeAndre Jordan,22,LAC,C,80,66,25.6,2.9,4.3,0.686,0,0,0,2.9,4.3,0.688,0.686,1.2,2.7,0.452,2.6,4.6,7.2,0.5,0.5,1.8,1.3,3.2,7.1,,jordade01
154,Derrick Favors,19,2TM,PF,78,27,19.7,2.8,5.3,0.517,0,0,,2.8,5.3,0.517,0.517,1.3,2.2,0.595,2.2,3.1,5.3,0.5,0.4,0.9,1,3.2,6.8,,favorde01
155,Derek Fisher,36,LAL,PG,82,82,28,2.5,6.5,0.389,0.8,1.9,0.396,1.7,4.5,0.386,0.449,1,1.3,0.806,0.2,1.7,1.9,2.7,1.2,0.1,0.9,2.3,6.8,,fishede01
156,Eric Bledsoe,21,LAC,PG,81,25,22.7,2.5,6,0.424,0.4,1.4,0.276,2.1,4.6,0.47,0.457,1.2,1.6,0.744,0.8,1.9,2.8,3.6,1.1,0.3,2.4,1.6,6.7,,bledser01
157,Luc Mbah a Moute,24,MIL,PF,79,52,26.5,2.5,5.4,0.463,0,0.1,0,2.5,5.3,0.47,0.463,1.7,2.4,0.707,2.1,3.2,5.3,0.9,0.9,0.4,1,2.3,6.7,,mbahalu01
158,Shaun Livingston,25,CHA,PG,73,0,17.3,2.5,5.4,0.466,0,0.1,0.25,2.5,5.4,0.468,0.467,1.5,1.7,0.864,0.4,1.6,2,2.2,0.6,0.4,1.2,1.5,6.6,,livinsh01
159,Mario Chalmers,24,MIA,PG,70,28,22.6,2.2,5.5,0.399,1.2,3.3,0.359,1,2.2,0.459,0.506,0.8,0.9,0.871,0.2,1.9,2.1,2.5,1.1,0.1,1.3,2.3,6.4,,chalmma01
160,Maurice Evans,32,2TM,SF,73,24,21.2,2.4,5.8,0.417,0.8,2.3,0.329,1.7,3.5,0.475,0.482,0.7,0.8,0.897,0.7,1.4,2.1,0.6,0.5,0.2,0.5,1.8,6.3,,evansma01
161,Ronnie Brewer,25,CHI,SG,81,1,22,2.5,5.3,0.48,0.1,0.3,0.222,2.5,4.9,0.498,0.487,1.1,1.6,0.654,0.7,2.6,3.2,1.7,1.3,0.3,0.7,1,6.2,,brewero02
162,Dante Cunningham,23,2TM,PF,78,18,21,2.8,6.1,0.462,0,0.2,0.077,2.8,5.9,0.473,0.463,0.6,0.8,0.726,1.2,2.3,3.6,0.6,0.7,0.6,0.7,2.3,6.2,,cunnida01
163,James Jones,30,MIA,SF,81,8,19.1,1.8,4.3,0.422,1.5,3.5,0.429,0.3,0.7,0.39,0.6,0.7,0.9,0.833,0.3,1.7,2,0.5,0.4,0.2,0.3,1.6,5.9,,jonesja02
164,Al-Farouq Aminu,20,LAC,SF,81,14,17.9,2,5,0.394,0.6,1.8,0.315,1.4,3.2,0.437,0.45,1.1,1.5,0.773,0.9,2.4,3.3,0.7,0.7,0.3,1.3,1.5,5.6,,aminual01
165,Jordan Hill,23,HOU,C,72,11,15.6,2.4,4.9,0.491,0,0,0,2.4,4.9,0.494,0.491,0.8,1.2,0.706,1.8,2.5,4.3,0.4,0.2,0.7,0.9,2.2,5.6,,hilljo01
166,Gordon Hayward,20,UTA,SF,72,17,16.9,2,4.1,0.485,0.5,1,0.473,1.5,3,0.489,0.544,1,1.3,0.711,0.6,1.4,1.9,1.1,0.4,0.3,1,1.5,5.4,,haywago01
167,Antonio McDyess,36,SAS,PF,73,16,19,2.3,4.7,0.491,0,0,0,2.3,4.7,0.493,0.491,0.7,1.1,0.675,1.7,3.7,5.4,1.2,0.5,0.5,1,2.2,5.3,,mcdyean01
168,Ryan Hollins,26,CLE,C,70,16,16.9,1.9,3.1,0.598,0,0,,1.9,3.1,0.598,0.598,1.6,2.3,0.681,1,1.7,2.7,0.4,0.3,0.6,1,2.8,5.3,,holliry01
169,DeShawn Stevenson,29,DAL,SG,72,54,16.1,1.8,4.6,0.388,1.3,3.5,0.378,0.5,1.1,0.42,0.53,0.5,0.6,0.767,0.3,1.2,1.5,1.1,0.3,0.1,0.6,1,5.3,,stevede01
170,Jeff Teague,22,ATL,PG,70,7,13.8,1.9,4.3,0.438,0.3,0.7,0.375,1.6,3.7,0.449,0.467,1.1,1.4,0.794,0.2,1.3,1.5,2,0.6,0.4,0.9,1.2,5.2,,teaguje01
171,Thabo Sefolosha,26,OKC,SG,79,79,25.9,2,4.2,0.471,0.4,1.3,0.275,1.6,2.9,0.558,0.514,0.7,1,0.747,0.8,3.6,4.4,1.4,1.2,0.5,0.7,2.2,5.1,DPOY-21,sefolth01
172,Vladimir Radmanović,30,GSW,PF,74,6,15.8,1.9,4.3,0.431,0.9,2.3,0.405,0.9,2,0.462,0.541,0.4,0.5,0.882,0.9,2,2.9,1.1,0.6,0.6,0.8,2.1,5.1,,radmavl01
173,Zydrunas Ilgauskas,35,MIA,C,72,51,15.9,2.3,4.4,0.508,0,0,0,2.3,4.4,0.509,0.508,0.5,0.6,0.783,1.5,2.5,4,0.4,0.3,0.8,0.7,2.6,5,,ilgauzy01
