Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
53,Matas Buzelis,21,CHI,PF,75,75,29.3,5.8,12.5,.465,2.3,6.4,.358,3.5,6.1,.579,.557,2.4,3.1,.792,1.0,4.8,5.8,2.1,0.7,1.5,2.1,2.3,16.4,,buzelma01
54,VJ Edgecombe,20,PHI,SG,69,69,34.8,6.0,13.7,.440,2.0,5.6,.362,4.0,8.1,.494,.514,2.0,2.4,.828,1.6,4.0,5.6,4.1,1.4,0.5,1.8,2.9,16.1,,edgecvj01
55,Nikola Vučević,35,2TM,C,60,49,29.0,6.4,12.8,.496,1.6,4.3,.373,4.8,8.6,.557,.558,1.3,1.5,.835,2.0,6.6,8.6,3.4,0.6,0.7,1.3,2.0,15.6,,vucevni01
56,Andrew Wiggins,30,MIA,SF,63,63,30.7,5.9,12.3,.476,2.0,4.9,.411,3.8,7.4,.518,.557,1.8,2.3,.788,1.7,3.3,5.0,2.7,1.2,1.1,1.5,2.3,15.6,,wiggian01
57,Jabari Smith Jr.,22,HOU,PF,72,72,35.2,5.6,12.5,.450,2.2,6.2,.358,3.4,6.3,.540,.538,2.1,2.7,.776,1.5,5.5,6.9,1.9,0.8,0.9,1.4,2.5,15.5,,smithja05
58,Naji Marshall,28,DAL,SF,71,44,29.7,5.7,11.1,.516,0.9,2.9,.295,4.9,8.2,.595,.555,3.1,4.1,.764,0.9,3.8,4.7,3.3,1.1,0.1,1.6,1.9,15.5,,marshna01
59,Onyeka Okongwu,25,ATL,C,70,59,31.1,5.7,11.7,.482,2.0,5.2,.379,3.7,6.5,.566,.567,2.1,2.7,.755,1.9,5.8,7.7,3.2,1.2,1.1,1.8,3.4,15.4,,okongon01
60,Anthony Black,22,ORL,PG,60,40,30.7,5.5,12.3,.451,1.6,4.7,.339,3.9,7.6,.521,.516,2.6,3.6,.730,0.7,3.1,3.9,3.8,1.4,0.7,2.1,2.7,15.3,,blackan01
61,Russell Westbrook,37,SAC,SF,64,58,29.0,5.6,13.1,.427,2.0,5.9,.338,3.6,7.2,.500,.503,2.0,2.9,.694,1.3,4.2,5.4,6.7,1.3,0.2,3.3,2.3,15.2,,westbru01
62,Collin Sexton,27,2TM,SG,62,17,23.1,5.1,10.5,.490,1.6,4.1,.399,3.5,6.4,.548,.568,3.2,3.8,.859,0.5,1.6,2.0,3.3,1.0,0.2,2.0,2.0,15.2,,sextoco01
63,Jaime Jaquez Jr.,24,MIA,SF,70,1,28.2,6.0,12.1,.497,0.7,2.4,.303,5.3,9.7,.544,.527,2.3,3.0,.763,1.3,3.8,5.1,4.7,0.7,0.3,2.0,1.9,15.0,,jaqueja01
64,Jaden McDaniels,25,MIN,PF,71,71,31.9,5.6,10.9,.518,1.4,3.4,.421,4.2,7.5,.562,.584,2.1,2.5,.839,1.0,3.2,4.2,2.7,1.1,1.0,1.8,3.4,14.8,,mcdanja02
65,Mikal Bridges,29,NYK,SF,77,77,33.4,5.9,12.0,.489,2.0,5.3,.375,3.9,6.7,.578,.571,1.0,1.2,.824,1.0,2.9,3.9,3.8,1.3,0.8,1.1,2.0,14.7,,bridgmi01
66,Ayo Dosunmu,26,2TM,SG,64,15,26.8,5.5,10.6,.519,1.8,4.0,.446,3.7,6.6,.564,.604,1.8,2.0,.862,0.7,2.7,3.4,3.7,0.8,0.3,1.3,1.9,14.6,,dosunay01
67,Brice Sensabaugh,22,UTA,SF,71,19,23.2,5.2,11.2,.460,2.1,5.8,.363,3.1,5.4,.564,.554,2.1,2.5,.822,0.8,2.3,3.1,1.8,0.7,0.2,1.5,1.9,14.5,,sensabr01
68,Anfernee Simons,26,2TM,SG,55,5,24.9,5.2,11.8,.440,2.7,6.9,.385,2.5,4.9,.517,.552,1.3,1.4,.896,0.6,1.9,2.5,2.4,0.5,0.1,1.2,1.7,14.3,,simonan01
69,P.J. Washington,27,DAL,PF,55,52,31.0,5.3,11.8,.448,1.3,4.1,.320,3.9,7.6,.517,.504,2.3,3.3,.687,1.5,5.5,7.1,1.8,1.0,1.1,1.7,2.1,14.1,,washipj01
70,Devin Vassell,25,SAS,SG,61,59,30.4,4.9,11.3,.438,2.5,6.4,.389,2.4,4.8,.503,.549,1.6,2.0,.810,0.5,3.3,3.9,2.5,0.9,0.4,0.9,1.6,14.0,,vassede01
71,Quentin Grimes,25,PHI,SG,69,19,30.0,4.6,10.2,.453,1.8,5.2,.334,2.9,4.9,.579,.539,2.8,3.3,.837,0.7,3.1,3.7,3.4,0.9,0.4,1.9,2.0,13.7,,grimequ01
72,Tim Hardaway Jr.,33,DEN,SG,76,5,26.7,4.4,9.8,.450,2.8,6.9,.410,1.6,2.9,.545,.595,2.0,2.5,.812,0.2,2.4,2.6,1.3,0.5,0.1,0.6,1.2,13.7,,hardati02
73,Reed Sheppard,21,HOU,SG,76,17,26.4,5.0,11.6,.431,2.8,7.0,.394,2.2,4.6,.487,.550,0.9,1.1,.807,0.4,2.6,2.9,3.4,1.5,0.7,1.6,2.1,13.7,,sheppre01
74,Bobby Portis,30,MIL,PF,67,9,24.2,5.5,11.2,.488,2.0,4.4,.456,3.4,6.8,.509,.578,0.7,1.0,.706,1.3,5.1,6.4,1.6,0.6,0.2,1.0,1.6,13.7,,portibo01
75,Naz Reid,26,MIN,C,72,2,26.1,5.1,11.2,.459,2.1,5.8,.365,3.0,5.4,.561,.554,1.2,1.6,.730,1.2,5.1,6.3,2.3,1.0,1.0,1.6,2.5,13.6,,reidna01
76,John Collins,28,LAC,PF,63,53,27.5,5.3,9.4,.557,1.3,3.2,.411,3.9,6.2,.633,.627,1.7,2.2,.777,1.5,3.7,5.2,1.0,0.9,0.8,1.3,2.8,13.5,,collijo01
77,Ace Bailey,19,UTA,SF,68,57,27.4,5.3,12.1,.442,1.9,5.4,.351,3.4,6.7,.517,.521,0.9,1.2,.771,1.5,2.6,4.1,1.8,0.8,0.6,1.4,2.7,13.5,,baileac01
78,Tre Jones,26,CHI,PG,59,35,27.0,5.0,9.2,.550,0.6,1.9,.322,4.4,7.2,.612,.584,2.7,3.3,.830,0.6,2.5,3.1,5.4,1.2,0.2,1.4,1.4,13.4,,jonestr01
79,Cedric Coward,22,MEM,SG,59,44,25.9,4.8,10.4,.464,1.5,4.4,.333,3.4,6.0,.559,.534,2.3,2.7,.847,1.4,4.6,5.9,2.8,0.6,0.4,1.7,2.0,13.4,,cowarce01
80,Brandin Podziemski,22,GSW,SG,76,37,28.3,4.7,10.4,.449,1.8,5.0,.369,2.8,5.4,.522,.537,2.2,2.8,.779,0.9,4.4,5.3,3.8,1.1,0.2,1.6,1.7,13.3,,podzibr01
81,Tobias Harris,33,DET,PF,58,58,28.3,4.9,10.7,.461,1.3,3.7,.349,3.7,7.0,.520,.521,2.2,2.5,.870,0.9,4.4,5.2,2.6,0.9,0.4,1.0,1.7,13.3,,harrito02
82,Kyle Kuzma,30,MIL,PF,66,41,26.3,5.0,10.1,.491,1.2,3.5,.343,3.8,6.6,.570,.551,2.0,2.8,.724,0.8,3.7,4.6,2.6,0.7,0.4,1.6,2.0,13.2,,kuzmaky01
83,Jaylon Tyson,23,CLE,SG,64,40,27.0,5.0,10.0,.496,2.0,4.5,.455,2.9,5.5,.530,.598,1.2,1.6,.743,1.8,3.3,5.1,2.2,0.8,0.4,1.5,2.5,13.1,,tysonja01
84,Toumani Camara,25,POR,PF,77,77,33.1,4.7,10.7,.437,2.6,7.1,.363,2.1,3.6,.583,.557,1.2,1.7,.701,1.6,3.6,5.2,2.5,1.1,0.4,1.8,2.9,13.1,,camarto01
85,Collin Gillespie,26,PHO,PG,75,56,28.9,4.5,10.7,.423,3.0,7.3,.409,1.5,3.4,.453,.563,1.0,1.1,.871,1.1,3.0,4.1,4.8,1.3,0.2,1.6,1.7,13.1,,gilleco01
86,Keldon Johnson,26,SAS,SF,76,0,23.3,5.0,9.5,.528,1.2,3.3,.381,3.8,6.3,.604,.593,1.8,2.2,.793,1.6,3.7,5.3,1.4,0.6,0.1,0.9,2.0,13.0,,johnske04
87,Jeremiah Fears,19,NOP,PG,76,45,24.9,4.9,11.5,.426,1.1,3.4,.332,3.8,8.1,.467,.476,2.0,2.6,.782,0.7,2.8,3.5,3.3,1.1,0.3,2.2,1.8,13.0,,fearsje01
88,Brandon Williams,26,DAL,PG,64,15,22.1,4.4,9.3,.471,0.6,2.4,.238,3.8,6.9,.550,.501,3.5,4.5,.794,0.5,2.5,2.9,3.8,0.9,0.3,1.9,1.6,12.9,,willibr03
89,Malik Monk,27,SAC,SG,59,3,22.5,4.5,10.5,.434,2.0,5.2,.392,2.5,5.3,.474,.531,1.6,1.8,.879,0.3,1.7,1.9,3.1,0.6,0.4,1.4,1.7,12.7,,monkma01
90,Jaylen Wells,22,MEM,SG,69,69,26.4,4.4,10.1,.431,1.9,5.3,.353,2.5,4.8,.517,.524,1.9,2.5,.784,0.9,2.3,3.2,1.6,0.9,0.1,1.1,2.1,12.5,,wellsja01
91,Donte DiVincenzo,29,MIN,SG,75,75,30.9,4.2,10.3,.411,3.0,7.9,.385,1.2,2.4,.497,.558,1.0,1.3,.760,0.9,3.4,4.3,4.0,1.3,0.4,1.5,2.4,12.5,,divindo01
92,Deandre Ayton,27,LAL,C,66,66,27.4,5.6,8.3,.675,0.0,0.0,,5.6,8.3,.675,.675,1.2,1.9,.630,2.6,5.7,8.3,0.8,0.6,1.0,1.2,2.2,12.4,,aytonde01
93,Noah Clowney,21,BRK,PF,65,59,27.1,3.8,9.6,.394,2.0,6.0,.331,1.8,3.6,.500,.498,2.7,3.4,.800,0.8,3.3,4.1,1.6,0.8,0.7,1.5,2.5,12.3,,clownno01
94,Tre Johnson,19,WAS,SG,59,41,24.0,4.5,10.7,.420,1.9,5.4,.361,2.6,5.4,.478,.509,1.3,1.5,.874,0.5,2.3,2.8,2.0,0.6,0.3,1.5,2.0,12.2,,johnstr03
95,Max Christie,22,DAL,SG,71,62,29.4,4.2,9.5,.442,2.3,5.8,.403,1.9,3.7,.502,.565,1.5,1.6,.889,0.2,3.1,3.3,2.0,0.6,0.3,1.3,1.4,12.2,,chrisma02
96,Josh Hart,30,NYK,SF,62,48,30.2,4.6,9.1,.506,1.5,3.7,.409,3.1,5.4,.573,.590,1.4,1.9,.726,1.5,6.0,7.5,4.9,1.2,0.3,1.9,2.5,12.2,,hartjo01
97,Moses Moody,23,GSW,SG,60,49,25.7,4.1,9.3,.440,2.5,6.3,.401,1.6,3.0,.522,.575,1.5,1.9,.770,0.9,2.5,3.3,1.6,1.0,0.6,1.0,2.0,12.1,,moodymo01
